N° eqt,Pression Nominale Relative,Masse de Gaz,Rapport Masse/Pression
5002166246,3.5,1.0,0.2857142857142857
5002166247,3.5,1.0,0.2857142857142857
5002166250,3.5,1.0,0.2857142857142857
5002166251,3.5,1.0,0.2857142857142857
5002166252,3.5,1.0,0.2857142857142857
5002166253,3.5,1.0,0.2857142857142857
5002166248,3.5,1.0,0.2857142857142857
5002166249,3.5,1.0,0.2857142857142857
5002166254,3.5,1.0,0.2857142857142857
5002166255,3.5,1.0,0.2857142857142857
5002166256,3.5,1.0,0.2857142857142857
5002166257,3.5,1.0,0.2857142857142857
5001990044,3.5,6.9,1.9714285714285715
5001990046,3.5,6.9,1.9714285714285715
5001990047,3.5,6.9,1.9714285714285715
5001990048,3.5,41.0,11.714285714285714
5001990049,3.5,41.0,11.714285714285714
5001990050,3.5,41.0,11.714285714285714
5001990051,3.5,6.0,1.7142857142857142
5001990080,3.5,6.9,1.9714285714285715
5001990081,3.5,6.9,1.9714285714285715
5001990083,3.5,6.9,1.9714285714285715
5001990084,3.5,41.0,11.714285714285714
5001990085,3.5,41.0,11.714285714285714
5001990086,3.5,41.0,11.714285714285714
5001990087,3.5,6.0,1.7142857142857142
5002140513,3.5,5.3,1.5142857142857142
5002140514,3.5,5.3,1.5142857142857142
5002140515,3.5,5.3,1.5142857142857142
5002140516,3.5,5.3,1.5142857142857142
5002140517,3.5,5.3,1.5142857142857142
5002140518,3.5,5.3,1.5142857142857142
5002140519,3.5,6.9,1.9714285714285715
5002140520,3.5,6.9,1.9714285714285715
5002140521,3.5,6.9,1.9714285714285715
5002140539,3.5,5.3,1.5142857142857142
5002140540,3.5,5.3,1.5142857142857142
5002140541,3.5,5.3,1.5142857142857142
5002140542,3.5,5.3,1.5142857142857142
5002140543,3.5,5.3,1.5142857142857142
5002140544,3.5,5.3,1.5142857142857142
5002140545,3.5,6.9,1.9714285714285715
5002140546,3.5,6.9,1.9714285714285715
5002140547,3.5,6.9,1.9714285714285715
5002140597,3.5,5.3,1.5142857142857142
5002140598,3.5,5.3,1.5142857142857142
5002140599,3.5,5.3,1.5142857142857142
5002140600,3.5,5.3,1.5142857142857142
5002140601,3.5,5.3,1.5142857142857142
5002140602,3.5,5.3,1.5142857142857142
5002140603,3.5,6.9,1.9714285714285715
5002140604,3.5,6.9,1.9714285714285715
5002140605,3.5,6.9,1.9714285714285715
5002140606,3.5,6.9,1.9714285714285715
5002140607,3.5,5.3,1.5142857142857142
5002140608,3.5,5.3,1.5142857142857142
5002140609,3.5,5.3,1.5142857142857142
5002140610,3.5,5.3,1.5142857142857142
5002140611,3.5,5.3,1.5142857142857142
5002140612,3.5,6.9,1.9714285714285715
5002140613,3.5,6.9,1.9714285714285715
5002140614,3.5,6.9,1.9714285714285715
5002140615,3.5,5.3,1.5142857142857142
5002140616,3.5,5.3,1.5142857142857142
5002140617,3.5,5.3,1.5142857142857142
5002140618,3.5,5.3,1.5142857142857142
5002140619,3.5,5.3,1.5142857142857142
5002140620,3.5,5.3,1.5142857142857142
5002140621,3.5,6.9,1.9714285714285715
5002140622,3.5,6.9,1.9714285714285715
5002140623,3.5,6.9,1.9714285714285715
5002140624,3.5,5.3,1.5142857142857142
5002140625,3.5,5.3,1.5142857142857142
5002140626,3.5,5.3,1.5142857142857142
5002140627,3.5,5.3,1.5142857142857142
5002140628,3.5,5.3,1.5142857142857142
5002140629,3.5,5.3,1.5142857142857142
5002140630,3.5,6.9,1.9714285714285715
5002140631,3.5,6.9,1.9714285714285715
5002140632,3.5,6.9,1.9714285714285715
5001989619,3.3,36.0,10.90909090909091
5001989620,3.3,36.0,10.90909090909091
5001989621,3.3,36.0,10.90909090909091
5001989622,3.3,22.0,6.666666666666667
5001989623,3.3,22.0,6.666666666666667
5001989624,3.3,22.0,6.666666666666667
5001989625,3.3,21.0,6.363636363636364
